ordem;external_id;titulo;bairro_localizacao;preco;descricao;url_origem;fotos_total;foto_capa
11;86de431ad3f175a3680a9608ca3cae6b1c89d175;"Conquista Boulevard Park, 1 e 2 quartos com lazer completo";Industrial;"R$ 210.000,00";"Na melhor região de Camaçari, porque viver perto de tudo e da vida que você sempre quis é outro nível | Minha Casa Minha Vida";https://www.imobssa.com.br/imovel/4145017/conquista-boulevard-park;23;uploads/imobssa/86de431ad3f175a3680a9608ca3cae6b1c89d175/02.png
12;b23897e4564e6e2634c932c0f2537411e351fd49;"Conquista Vila Verde, 1 e 2 quartos com lazer completo";Vila Verde;"R$ 224.990,00";More em um bairro planejado em frente ao Shopping Busca Vida | MINHA CASA MINHA VIDA;https://www.imobssa.com.br/imovel/4145029/conquista-vila-verde;26;uploads/imobssa/b23897e4564e6e2634c932c0f2537411e351fd49/02.png
13;426a433d4e2e75a5666f9db9f933c3294a55d65c;Conquiste seu apartamento em Lauro de Freitas;Abrantes;"R$ 228.000,00";"Conquista Lauro, 1 e 2 quartos para você viver grandes momentos | Minha Casa Minha Vida";https://www.imobssa.com.br/imovel/4129482/conquista-laurodefreitas-direcional;24;uploads/imobssa/426a433d4e2e75a5666f9db9f933c3294a55d65c/02.png
14;c42468e3661f3a87dc5487ad3f7e322a3b7333df;"Dom Horto Florestral, 4 quartos com muita sofisticação";Horto Florestal;"R$ 1.702.936,00";"Um projeto singular, que une exclusividade com lazer e conforto em grande estilo";https://www.imobssa.com.br/imovel/4195609/dom-horto-florestral;18;uploads/imobssa/c42468e3661f3a87dc5487ad3f7e322a3b7333df/02.png
15;f1278683553635622b2b52d1ed92fa6bfffa955d;"Duo Reserva Tangará, 2 quartos com lazer completo";Cajazeiras;"R$ 252.250,00";"Em Cajazeiras, perto do metrô e da nova rodoviária de Salvador. Venha ser feliz perto de tudo que te faz bem | Minha Casa Minha Vida";https://www.imobssa.com.br/imovel/4165693/duo-reserva-tangara-cajazeiras;13;uploads/imobssa/f1278683553635622b2b52d1ed92fa6bfffa955d/02.png
16;3772eb2a45f8387ec32d6c4249f8ef0cd4301969;"Encanto Piatã, 2 quartos com lazer e esturutura completa";Piatã;"R$ 250.000,00";Uma localiação incrível em Piatã | Minha Casa Minha Vida;https://www.imobssa.com.br/imovel/4132480/encanto-piata-tenda;32;uploads/imobssa/3772eb2a45f8387ec32d6c4249f8ef0cd4301969/02.png
17;c4f62b6bee9be63bd6723e8c0b3eb32869c24624;"Forte São Marcelo, apartamentos de 2 quartos em Areia Branca";Areia Branca;"R$ 208.000,00";"Lançamento Tenda em Salvador: Forte São Marcelo com piscina, lazer completo e entrada facilitada pelo MCMV.";https://www.imobssa.com.br/imovel/4129180/forte-sao-marcelo-tenda;20;uploads/imobssa/c4f62b6bee9be63bd6723e8c0b3eb32869c24624/02.png
18;a549725b2a821e4534a51c1b7a58174bd6993a01;"Gal Urban Beach Living, 1 e 2 quartos em Pituaçu";Pituaçu;"R$ 592.295,00";"Na Praia do Corsário, com arquitetura em sintonia com a imensidão do mar";https://www.imobssa.com.br/imovel/4184615/gal-pituacu-praia-corsario;25;uploads/imobssa/a549725b2a821e4534a51c1b7a58174bd6993a01/02.png
19;1f79d4aaafe886a3d597a0caa5d0828bb796ac35;"Imbui Class, 2 e 3 quartos, com lazer completo no Imbuí";Imbuí;"R$ 533.520,00";"O Imbuí é um lugar incrivel para se viverl. Prático, confortável e com fácil acesso a tudo. Conheça o Imbuí Class e escolha sua nova morada.";https://www.imobssa.com.br/imovel/4150380/imbui-class;22;uploads/imobssa/1f79d4aaafe886a3d597a0caa5d0828bb796ac35/02.png
20;589e5a5a3088a35d9d08036d03ec47c537f51d06;Jardim das Tulipas: 2 quartos com suíte no Jardim Brasília;Jardim Brasília;"R$ 377.616,00";"Conforto, exclusividade e praticidade de uma localização estratégica";https://www.imobssa.com.br/imovel/4132724/jardim-tulipas-pernambues;14;uploads/imobssa/589e5a5a3088a35d9d08036d03ec47c537f51d06/02.png
21;34e5ffef1d2e51263482f8287c3abeca55ef19b3;"Jardim Patamares, 2 e 3 quartos com lazer completo";Piatã;"R$ 386.000,00";"Fácil de comprar, morar e ser feliz em uma das regiões que mais se valoriza na cidade";https://www.imobssa.com.br/imovel/4132144/jardim-patamares-stanza;25;uploads/imobssa/34e5ffef1d2e51263482f8287c3abeca55ef19b3/02.png
22;fa1d807677bebef5d884b59b3839089dbcfc9238;"La Mar Jaguaribe, 3 suítes com lazer completo";Piatã;"R$ 1.461.828,00";"More de frente para o mar, em um dos trechos mais valorizados da orla de Salvador, Jaguaribe.";https://www.imobssa.com.br/imovel/4184159/lamar-jaguaribe-grafico;29;uploads/imobssa/fa1d807677bebef5d884b59b3839089dbcfc9238/02.png
23;5c56b2a9b2a4e4d859ee814df488fce3fa5cd6bd;Mood Club Costa Azul | 2 e 3 quartos com lazer completo;Costa Azul;"R$ 490.909,00";"A Moura Doubex traz o empreendimento com localização que sempre desejou, com o conforto que sempre quis.";https://www.imobssa.com.br/imovel/4129700/mood-club-costa-azul-moura-doubex;31;uploads/imobssa/5c56b2a9b2a4e4d859ee814df488fce3fa5cd6bd/02.png
24;f9475ae562cbff95a77f3b283cf874a1d66c2578;"Morada das Estações, 2 quartos com lazer completo";Mussurunga I;"R$ 245.000,00";"Tenha mais tempo morando na Av. Aliomar Baleeiro, perto de tudo que precisa | Minha Casa Minha Vida";https://www.imobssa.com.br/imovel/4149446/morada-estacaoes-tenda;21;uploads/imobssa/f9475ae562cbff95a77f3b283cf874a1d66c2578/02.png
25;11af5ee9bf6df682b29aea10d337215f82b6a660;"Morada Real, apartamentos de 2 quartos com lazer completo";Porto Seco Pirajá;"R$ 248.000,00";"Morada Real da Tenda em Porto Seco Pirajá: apartamentos de 2 quartos, lazer completo, ótima localização e condições pelo Minha Casa Minha Vida.";https://www.imobssa.com.br/imovel/4129189/morada-real-piraja-tenda;12;uploads/imobssa/11af5ee9bf6df682b29aea10d337215f82b6a660/02.png
